RAM,Storage,Processor,Screen_Size,Price
4,128,3,14.0,28000
4,256,3,14.0,32000
4,256,3,15.6,35000
4,512,3,15.6,38000
4,512,5,15.6,42000
8,256,3,14.0,38000
8,512,5,14.0,45000
8,512,5,15.6,48000
8,1024,5,15.6,55000
8,1024,5,16.0,60000
8,256,5,14.0,42000
8,512,5,15.6,50000
8,512,7,15.6,58000
8,1024,7,16.0,65000
8,1024,7,16.0,70000
16,512,5,14.0,60000
16,512,7,15.6,68000
16,1024,7,15.6,75000
16,1024,7,16.0,82000
16,2048,7,16.0,90000
16,512,7,14.0,75000
16,1024,7,15.6,85000
16,1024,9,16.0,95000
16,2048,9,16.0,110000
16,2048,9,17.3,120000
32,1024,7,15.6,100000
32,1024,9,16.0,115000
32,2048,9,16.0,130000
32,2048,9,17.3,145000
32,4096,9,17.3,160000
4,128,3,14.0,30000
4,256,3,15.6,35000
4,512,5,15.6,38000
4,512,5,16.0,42000
4,1024,5,16.0,45000
8,256,3,14.0,40000
8,256,5,15.6,46000
8,512,5,15.6,50000
8,1024,5,16.0,58000
8,1024,7,16.0,62000
8,256,5,14.0,45000
8,512,5,15.6,52000
8,512,7,15.6,60000
8,1024,7,16.0,68000
8,2048,7,16.0,75000
16,512,5,14.0,62000
16,1024,7,15.6,70000
16,1024,7,16.0,78000
16,2048,9,16.0,88000
16,2048,9,17.3,95000
16,512,7,15.6,78000
16,1024,7,16.0,88000
16,1024,9,16.0,98000
16,2048,9,17.3,115000
16,4096,9,17.3,135000
32,1024,7,14.0,105000
32,2048,9,15.6,120000
32,2048,9,15.6,140000
32,4096,9,16.0,155000
32,4096,9,16.0,175000
4,128,3,14.0,30000
4,256,3,14.0,34000
4,256,5,15.6,37000
4,512,5,15.6,40000
4,512,5,16.0,45000
8,256,3,14.0,40000
8,512,5,15.6,47000
8,512,5,15.6,52000
8,1024,7,16.0,60000
8,1024,7,16.0,65000
8,256,5,14.0,45000
8,512,5,15.6,53000
8,1024,7,16.0,62000
8,1024,7,16.0,70000
8,2048,9,17.3,80000
16,512,5,15.6,65000
16,1024,7,16.0,75000
16,1024,7,16.0,85000
16,2048,9,17.3,95000
16,2048,9,17.3,105000
16,1024,7,14.0,80000
16,1024,7,15.6,90000
16,2048,9,16.0,100000
16,2048,9,16.0,115000
16,4096,9,17.3,130000
32,2048,7,16.0,110000
32,2048,9,17.3,125000
32,4096,9,17.3,145000
32,4096,9,14.0,165000
32,4096,9,15.6,180000
8,512,5,14.0,55000
8,512,5,15.6,65000
8,1024,7,16.0,80000
16,1024,7,16.0,90000
16,2048,9,17.3,120000
16,2048,9,16.0,140000
32,4096,9,17.3,170000
32,4096,9,17.3,190000
4,256,3,14.0,30000
4,512,5,15.6,40000
